modelo,fpr,tpr
SNA - Regresión Logística,0.0,0.0
SNA - Regresión Logística,0.0,0.000397456279809221
SNA - Regresión Logística,4.468275245755138e-05,0.000397456279809221
SNA - Regresión Logística,4.468275245755138e-05,0.001589825119236884
SNA - Regresión Logística,8.936550491510277e-05,0.001589825119236884
SNA - Regresión Logística,8.936550491510277e-05,0.006359300476947536
SNA - Regresión Logística,0.00013404825737265417,0.006359300476947536
SNA - Regresión Logística,0.00013404825737265417,0.007551669316375199
SNA - Regresión Logística,0.00035746201966041106,0.007551669316375199
SNA - Regresión Logística,0.00035746201966041106,0.008346581875993641
SNA - Regresión Logística,0.00040214477211796245,0.008346581875993641
SNA - Regresión Logística,0.00040214477211796245,0.008744038155802861
SNA - Regresión Logística,0.0004915102770330652,0.008744038155802861
SNA - Regresión Logística,0.0004915102770330652,0.009538950715421303
SNA - Regresión Logística,0.0005361930294906167,0.009538950715421303
SNA - Regresión Logística,0.0005361930294906167,0.011128775834658187
SNA - Regresión Logística,0.0007149240393208221,0.011128775834658187
SNA - Regresión Logística,0.0007149240393208221,0.011526232114467409
SNA - Regresión Logística,0.0008042895442359249,0.011526232114467409
SNA - Regresión Logística,0.0008042895442359249,0.01192368839427663
SNA - Regresión Logística,0.0008489722966934763,0.01192368839427663
SNA - Regresión Logística,0.0008489722966934763,0.013116057233704292
SNA - Regresión Logística,0.001027703306523682,0.013116057233704292
SNA - Regresión Logística,0.001027703306523682,0.013513513513513514
SNA - Regresión Logística,0.0011170688114387846,0.013513513513513514
SNA - Regresión Logística,0.0011170688114387846,0.013910969793322734
SNA - Regresión Logística,0.001161751563896336,0.013910969793322734
SNA - Regresión Logística,0.001161751563896336,0.014705882352941176
SNA - Regresión Logística,0.0012064343163538875,0.014705882352941176
SNA - Regresión Logística,0.0012064343163538875,0.015103338632750398
SNA - Regresión Logística,0.0013404825737265416,0.015103338632750398
SNA - Regresión Logística,0.0013404825737265416,0.015500794912559618
SNA - Regresión Logística,0.001385165326184093,0.015500794912559618
SNA - Regresión Logística,0.001385165326184093,0.01629570747217806
SNA - Regresión Logística,0.0014745308310991957,0.01629570747217806
SNA - Regresión Logística,0.0014745308310991957,0.017885532591414944
SNA - Regresión Logística,0.0015192135835567471,0.017885532591414944
SNA - Regresión Logística,0.0015192135835567471,0.018282988871224166
SNA - Regresión Logística,0.0015638963360142986,0.018282988871224166
SNA - Regresión Logística,0.0015638963360142986,0.01987281399046105
SNA - Regresión Logística,0.0016085790884718498,0.01987281399046105
SNA - Regresión Logística,0.0016085790884718498,0.02066772655007949
SNA - Regresión Logística,0.0016979445933869527,0.02066772655007949
SNA - Regresión Logística,0.0016979445933869527,0.021462639109697933
SNA - Regresión Logística,0.001742627345844504,0.021462639109697933
SNA - Regresión Logística,0.001742627345844504,0.021860095389507155
SNA - Regresión Logística,0.0018319928507596068,0.021860095389507155
SNA - Regresión Logística,0.0018319928507596068,0.025437201907790145
SNA - Regresión Logística,0.0018766756032171583,0.025437201907790145
SNA - Regresión Logística,0.0018766756032171583,0.026232114467408585
SNA - Regresión Logística,0.0019213583556747095,0.026232114467408585
SNA - Regresión Logística,0.0019213583556747095,0.027424483306836247
SNA - Regresión Logística,0.002055406613047364,0.027424483306836247
SNA - Regresión Logística,0.002055406613047364,0.02782193958664547
SNA - Regresión Logística,0.002234137622877569,0.02782193958664547
SNA - Regresión Logística,0.002234137622877569,0.028616852146263912
SNA - Regresión Logística,0.0022788203753351206,0.028616852146263912
SNA - Regresión Logística,0.0022788203753351206,0.02901430842607313
SNA - Regresión Logística,0.0025022341376228774,0.02901430842607313
SNA - Regresión Logística,0.0025022341376228774,0.029411764705882353
