modelo,precision,recall
SNA - Regresión Logística,0.10106041131105399,1.0
SNA - Regresión Logística,0.1010644707772645,1.0
SNA - Regresión Logística,0.10102836024744918,0.9996025437201908
SNA - Regresión Logística,0.10103241875225967,0.9996025437201908
SNA - Regresión Logística,0.10103647758315924,0.9996025437201908
SNA - Regresión Logística,0.10100036157647342,0.9992050874403816
SNA - Regresión Logística,0.10096424266773804,0.9988076311605724
SNA - Regresión Logística,0.10096829924866407,0.9988076311605724
SNA - Regresión Logística,0.10093217614914818,0.9984101748807631
SNA - Regresión Logística,0.10089605014666292,0.9980127186009539
SNA - Regresión Logística,0.10085992124085831,0.9976152623211447
SNA - Regresión Logística,0.1008639742816958,0.9976152623211447
SNA - Regresión Logística,0.10086802764828806,0.9976152623211447
SNA - Regresión Logística,0.10087208134067435,0.9976152623211447
SNA - Regresión Logística,0.10083594566353186,0.9972178060413355
SNA - Regresión Logística,0.10083999839234757,0.9972178060413355
SNA - Regresión Logística,0.10084405144694533,0.9972178060413355
SNA - Regresión Logística,0.10084810482736445,0.9972178060413355
SNA - Regresión Logística,0.10081196237639682,0.9968203497615262
SNA - Regresión Logística,0.1007758170197371,0.996422893481717
SNA - Regresión Logística,0.10077986814600418,0.996422893481717
SNA - Regresión Logística,0.10074371859296483,0.9960254372019078
SNA - Regresión Logística,0.10074776875452279,0.9960254372019078
SNA - Regresión Logística,0.10075181924174809,0.9960254372019078
SNA - Regresión Logística,0.10071566420070763,0.9956279809220986
SNA - Regresión Logística,0.1007197137228097,0.9956279809220986
SNA - Regresión Logística,0.10068355448331323,0.9952305246422893
SNA - Regresión Logística,0.1006473923358398,0.9948330683624801
SNA - Regresión Logística,0.10065143960109378,0.9948330683624801
SNA - Regresión Logística,0.10061527325370974,0.994435612082671
SNA - Regresión Logística,0.10061931955280302,0.994435612082671
SNA - Regresión Logística,0.10062336617735773,0.994435612082671
SNA - Regresión Logística,0.10062741312741312,0.994435612082671
SNA - Regresión Logística,0.10063146040300848,0.994435612082671
SNA - Regresión Logística,0.1006355080041831,0.994435612082671
SNA - Regresión Logística,0.10063955593097623,0.994435612082671
SNA - Regresión Logística,0.10064360418342719,0.994435612082671
SNA - Regresión Logística,0.10064765276157528,0.994435612082671
SNA - Regresión Logística,0.10065170166545981,0.994435612082671
SNA - Regresión Logística,0.10065575089512009,0.994435612082671
SNA - Regresión Logística,0.10065980045059543,0.994435612082671
SNA - Regresión Logística,0.10066385033192517,0.994435612082671
SNA - Regresión Logística,0.10066790053914863,0.994435612082671
SNA - Regresión Logística,0.10067195107230516,0.994435612082671
SNA - Regresión Logística,0.10067600193143408,0.994435612082671
SNA - Regresión Logística,0.10068005311657478,0.994435612082671
SNA - Regresión Logística,0.1006841046277666,0.994435612082671
SNA - Regresión Logística,0.10068815646504889,0.994435612082671
SNA - Regresión Logística,0.10069220862846104,0.994435612082671
SNA - Regresión Logística,0.10069626111804242,0.994435612082671
SNA - Regresión Logística,0.10070031393383241,0.994435612082671
SNA - Regresión Logística,0.1007043670758704,0.994435612082671
SNA - Regresión Logística,0.10070842054419578,0.994435612082671
SNA - Regresión Logística,0.10071247433884796,0.994435612082671
SNA - Regresión Logística,0.10071652845986635,0.994435612082671
SNA - Regresión Logística,0.10072058290729037,0.994435612082671
SNA - Regresión Logística,0.10072463768115943,0.994435612082671
SNA - Regresión Logística,0.10072869278151295,0.994435612082671
SNA - Regresión Logística,0.10073274820839037,0.994435612082671
SNA - Regresión Logística,0.10073680396183114,0.994435612082671
SNA - Regresión Logística,0.1007408600418747,0.994435612082671
SNA - Regresión Logística,0.1007449164485605,0.994435612082671
SNA - Regresión Logística,0.100748973181928,0.994435612082671
SNA - Regresión Logística,0.10075303024201668,0.994435612082671
SNA - Regresión Logística,0.10075708762886598,0.994435612082671
SNA - Regresión Logística,0.1007611453425154,0.994435612082671
SNA - Regresión Logística,0.10076520338300443,0.994435612082671
SNA - Regresión Logística,0.10076926175037255,0.994435612082671
SNA - Regresión Logística,0.10077332044465925,0.994435612082671
SNA - Regresión Logística,0.10077737946590405,0.994435612082671
SNA - Regresión Logística,0.10078143881414646,0.994435612082671
SNA - Regresión Logística,0.10078549848942599,0.994435612082671
SNA - Regresión Logística,0.10078955849178214,0.994435612082671
SNA - Regresión Logística,0.10079361882125448,0.994435612082671
SNA - Regresión Logística,0.10079767947788253,0.994435612082671
SNA - Regresión Logística,0.10080174046170581,0.994435612082671
