combo,CV AUC,sigma
"[('clf__C', 0.01), ('clf__class_weight', None)]",0.7856731979269633,0.008904257821748193
"[('clf__C', 0.01), ('clf__class_weight', 'balanced')]",0.8082262330294508,0.00536186637880131
"[('clf__C', 0.1), ('clf__class_weight', None)]",0.8168567736184102,0.004404083565430797
"[('clf__C', 0.1), ('clf__class_weight', 'balanced')]",0.8165253849732356,0.003923467465517967
"[('clf__C', 1.0), ('clf__class_weight', None)]",0.8156958222135452,0.0033569773388530196
"[('clf__C', 1.0), ('clf__class_weight', 'balanced')]",0.8154031855648456,0.004025012070228713
"[('clf__C', 10.0), ('clf__class_weight', None)]",0.8154154203524963,0.003050520349320732
"[('clf__C', 10.0), ('clf__class_weight', 'balanced')]",0.8152371005388283,0.0040489853246927715
