C,class_weight,CV AUC,sigma
0.01,balanced,0.8047,0.0049
0.1,,0.8041,0.0043
1.0,,0.8004,0.0041
10.0,,0.7993,0.0044
0.1,balanced,0.7984,0.0046
1.0,balanced,0.7964,0.0049
10.0,balanced,0.7963,0.0048
0.01,,0.7872,0.0056
