alpha,hidden_layer_sizes,CV AUC,sigma
0.0001,"(128, 64)",0.9259,0.0026
0.001,"(128, 64)",0.9244,0.0053
0.0001,"(64,)",0.9071,0.0053
0.001,"(64,)",0.9059,0.0074
