epoca,perdida,auc_validacion
50,0.328026,0.900464
100,0.295784,0.910854
150,0.278972,0.916013
200,0.273207,0.920543
250,0.259754,0.920033
300,0.25536,0.918146
350,0.252345,0.924954
400,0.245047,0.925277
450,0.242934,0.92896
500,0.239525,0.92815
550,0.241561,0.926103
600,0.234669,0.928233
650,0.230573,0.926991
700,0.24929,0.927406
750,0.235028,0.926428
