epoca,perdida,auc_validacion
50,0.626453,0.675406
100,0.590322,0.741385
150,0.55523,0.762956
200,0.53963,0.777061
250,0.517561,0.794962
300,0.492215,0.814243
350,0.485026,0.810411
400,0.472744,0.83269
450,0.454571,0.842377
500,0.447859,0.843855
550,0.446534,0.839778
600,0.43471,0.855026
650,0.447226,0.850908
700,0.42325,0.863474
750,0.420004,0.865858
800,0.4183,0.866154
850,0.418146,0.865476
900,0.419106,0.868362
950,0.41456,0.868266
1000,0.41063,0.869456
1050,0.416056,0.868247
1100,0.406803,0.873045
1150,0.412782,0.870607
1200,0.407228,0.874731
