epoca,perdida,auc_validacion
50,0.623893,0.696057
100,0.595975,0.734378
150,0.56972,0.760451
200,0.545856,0.774042
250,0.518347,0.799407
300,0.518872,0.808484
350,0.487267,0.82572
400,0.47867,0.834153
450,0.465914,0.842117
500,0.464629,0.845604
550,0.448268,0.851281
600,0.439334,0.857692
650,0.435356,0.86015
700,0.426928,0.866461
750,0.421587,0.869749
800,0.423856,0.871505
850,0.421919,0.871188
900,0.417977,0.871031
950,0.412002,0.873085
1000,0.409514,0.873742
1050,0.407049,0.874589
1100,0.404951,0.874928
1150,0.40662,0.874248
1200,0.400502,0.877641
