C,class_weight,CV AUC,sigma
10.0,,0.6021,0.0077
1.0,,0.602,0.0077
0.1,,0.6002,0.007
10.0,balanced,0.5996,0.0083
1.0,balanced,0.5995,0.0083
0.1,balanced,0.5992,0.008
0.01,balanced,0.5943,0.0061
0.01,,0.5914,0.0054
