feature,importancia
pagerank,0.32232304784550214
log_valor_total,0.27467845833751114
log_valor_medio,0.27208640897984837
n_contratos,0.02026800208476311
n_procesos,0.020082476294416073
strength,0.018241733622633777
log_n_contratos,0.018218113317143264
grado,0.018001611609012313
n_entidades,0.01781055882495253
n_cuentas_plataforma,0.016874739725516508
en_componente_gigante,0.001414849358700772
