alpha,hidden_layer_sizes,CV AUC,sigma
0.001,"(128, 64)",0.6898,0.006
0.0001,"(128, 64)",0.6897,0.0064
0.0001,"(64,)",0.6709,0.0055
0.001,"(64,)",0.6704,0.0056
