class_weight,max_depth,n_estimators,CV AUC,sigma
,12,200,0.7068,0.0025
,12,100,0.7057,0.002
balanced,12,200,0.7037,0.0043
balanced,12,100,0.7034,0.004
,8,200,0.6929,0.0031
balanced,8,200,0.6922,0.0044
,8,100,0.6921,0.0028
balanced,8,100,0.6909,0.0041
