combo,CV AUC,sigma
"[('alpha', 0.0001), ('hidden_layer_sizes', (128, 64))]",0.8369699872903462,0.013559323182560687
"[('alpha', 0.001), ('hidden_layer_sizes', (128, 64))]",0.8510021075063451,0.003428560583250882
"[('alpha', 0.0001), ('hidden_layer_sizes', (64,))]",0.8353988022490105,0.015990749073975984
"[('alpha', 0.001), ('hidden_layer_sizes', (64,))]",0.8290493474896116,0.015793619227397818
