Umbral,Verdaderos positivos,Falsos positivos,Falsos negativos,Verdaderos negativos,Precisión,Exhaustividad
"0,5",854,483,1662,21897,0.6387,0.3394
óptimo de F1,1862,2222,654,20158,0.4559,0.7401
