id_nodo,en_triangulo,comparte_contacto,representante_compartido,componente_cerrado,banderas_rojas
P-00154,0.0,0.0,0.0,0.0,0.0
UT-46180,1.0,1.0,0.0,0.0,0.5
P-02939,0.0,0.0,0.0,0.0,0.0
N-09093,0.0,0.0,0.0,0.0,0.0
N-03103,0.0,0.0,0.0,0.0,0.0
P-41341,0.0,0.0,0.0,0.0,0.0
P-42816,0.0,0.0,0.0,0.0,0.0
P-18440,0.0,0.0,0.0,0.0,0.0
UT-34810,0.0,1.0,0.0,1.0,0.5
N-24676,0.0,0.0,0.0,0.0,0.0
UT-20849,0.0,1.0,0.0,0.0,0.25
P-33981,0.0,0.0,0.0,0.0,0.0
P-03135,0.0,0.0,0.0,0.0,0.0
P-48105,0.0,0.0,0.0,0.0,0.0
P-10285,0.0,0.0,0.0,0.0,0.0
P-11885,0.0,0.0,0.0,0.0,0.0
N-37079,0.0,0.0,0.0,0.0,0.0
P-40429,0.0,0.0,0.0,0.0,0.0
P-33153,0.0,0.0,0.0,0.0,0.0
P-00571,0.0,0.0,0.0,0.0,0.0
P-25780,0.0,0.0,0.0,0.0,0.0
P-31428,0.0,0.0,0.0,0.0,0.0
UT-27917,0.0,1.0,0.0,0.0,0.25
P-19232,1.0,1.0,0.0,0.0,0.5
P-26853,0.0,0.0,1.0,0.0,0.25
P-27477,0.0,0.0,0.0,1.0,0.25
P-03075,0.0,0.0,0.0,0.0,0.0
P-51058,0.0,1.0,0.0,0.0,0.25
P-09136,0.0,0.0,0.0,0.0,0.0
P-15601,1.0,1.0,1.0,0.0,0.75
N-05521,0.0,0.0,0.0,0.0,0.0
P-50987,0.0,0.0,0.0,0.0,0.0
P-35642,0.0,1.0,0.0,0.0,0.25
P-04401,0.0,0.0,1.0,0.0,0.25
P-29960,0.0,0.0,0.0,0.0,0.0
P-26421,0.0,0.0,0.0,0.0,0.0
P-46401,0.0,0.0,0.0,0.0,0.0
P-44121,0.0,0.0,0.0,0.0,0.0
P-40738,0.0,0.0,0.0,0.0,0.0
UT-36448,0.0,0.0,0.0,0.0,0.0
P-08631,0.0,0.0,0.0,0.0,0.0
P-22480,0.0,0.0,0.0,0.0,0.0
P-34110,0.0,0.0,1.0,0.0,0.25
P-19795,0.0,0.0,0.0,0.0,0.0
P-47487,0.0,0.0,0.0,0.0,0.0
P-10583,0.0,0.0,0.0,0.0,0.0
P-36084,1.0,1.0,0.0,0.0,0.5
P-15924,0.0,0.0,0.0,0.0,0.0
P-22344,0.0,0.0,0.0,0.0,0.0
UT-45404,0.0,1.0,0.0,0.0,0.25
N-37765,0.0,0.0,0.0,0.0,0.0
P-49415,0.0,0.0,0.0,0.0,0.0
N-14359,0.0,0.0,0.0,0.0,0.0
P-08604,0.0,0.0,0.0,0.0,0.0
P-11465,0.0,0.0,0.0,0.0,0.0
UT-9516,1.0,0.0,1.0,0.0,0.5
N-08340,0.0,0.0,0.0,0.0,0.0
N-04260,0.0,0.0,0.0,0.0,0.0
P-16929,0.0,1.0,0.0,0.0,0.25
P-51347,0.0,0.0,0.0,0.0,0.0
P-43267,0.0,0.0,0.0,0.0,0.0
N-18731,0.0,0.0,0.0,0.0,0.0
P-31250,0.0,0.0,0.0,0.0,0.0
UT-36933,0.0,0.0,0.0,0.0,0.0
N-16965,0.0,0.0,0.0,0.0,0.0
P-34269,1.0,0.0,0.0,0.0,0.25
UT-1099,0.0,1.0,1.0,0.0,0.5
UT-44323,1.0,1.0,0.0,0.0,0.5
UT-0196,0.0,1.0,0.0,0.0,0.25
P-01549,0.0,0.0,0.0,0.0,0.0
P-12229,0.0,0.0,0.0,0.0,0.0
P-36289,0.0,0.0,0.0,0.0,0.0
N-28537,0.0,0.0,0.0,0.0,0.0
N-02717,0.0,0.0,0.0,0.0,0.0
P-23972,0.0,0.0,0.0,0.0,0.0
P-18654,0.0,0.0,0.0,0.0,0.0
P-45534,0.0,0.0,0.0,0.0,0.0
P-06111,0.0,0.0,0.0,0.0,0.0
N-26629,0.0,0.0,0.0,0.0,0.0
P-49406,0.0,0.0,0.0,0.0,0.0
P-33779,0.0,0.0,0.0,0.0,0.0
UT-31549,0.0,1.0,0.0,0.0,0.25
N-22039,0.0,0.0,0.0,0.0,0.0
P-00076,0.0,0.0,0.0,0.0,0.0
N-22497,0.0,0.0,0.0,0.0,0.0
P-22890,0.0,0.0,0.0,0.0,0.0
P-00390,0.0,0.0,0.0,0.0,0.0
P-20562,0.0,0.0,0.0,0.0,0.0
P-43327,0.0,0.0,0.0,0.0,0.0
P-27348,0.0,0.0,0.0,0.0,0.0
UT-46245,0.0,1.0,0.0,0.0,0.25
P-09777,0.0,0.0,0.0,0.0,0.0
P-02325,0.0,1.0,0.0,0.0,0.25
P-48785,0.0,0.0,0.0,0.0,0.0
UT-15756,0.0,1.0,0.0,0.0,0.25
P-13534,0.0,0.0,0.0,0.0,0.0
N-02384,0.0,0.0,0.0,0.0,0.0
UT-22817,0.0,1.0,0.0,0.0,0.25
N-27432,0.0,0.0,0.0,0.0,0.0
P-34046,0.0,0.0,0.0,0.0,0.0
P-18064,0.0,0.0,0.0,0.0,0.0
P-51225,0.0,0.0,0.0,0.0,0.0
P-25364,0.0,0.0,0.0,0.0,0.0
P-38202,0.0,0.0,0.0,0.0,0.0
P-31884,1.0,1.0,0.0,0.0,0.5
P-43534,0.0,0.0,0.0,0.0,0.0
N-36788,0.0,0.0,0.0,0.0,0.0
P-21109,0.0,0.0,0.0,0.0,0.0
P-08695,0.0,0.0,0.0,0.0,0.0
P-15259,0.0,0.0,0.0,0.0,0.0
P-18661,0.0,0.0,0.0,0.0,0.0
N-25830,0.0,0.0,0.0,0.0,0.0
N-08595,0.0,0.0,0.0,0.0,0.0
P-09674,0.0,0.0,0.0,0.0,0.0
P-31966,0.0,0.0,0.0,0.0,0.0
P-12288,0.0,0.0,0.0,0.0,0.0
P-26560,0.0,0.0,0.0,0.0,0.0
P-04653,0.0,0.0,0.0,0.0,0.0
P-44271,0.0,0.0,0.0,0.0,0.0
N-01680,0.0,1.0,0.0,0.0,0.25
N-37192,0.0,0.0,0.0,0.0,0.0
P-50298,0.0,0.0,0.0,0.0,0.0
P-12417,0.0,0.0,1.0,0.0,0.25
P-42109,1.0,1.0,0.0,0.0,0.5
P-13861,0.0,0.0,0.0,0.0,0.0
P-47946,0.0,0.0,0.0,0.0,0.0
N-34653,0.0,1.0,0.0,0.0,0.25
P-12052,0.0,0.0,0.0,0.0,0.0
P-25487,0.0,0.0,0.0,0.0,0.0
P-31847,0.0,0.0,0.0,0.0,0.0
N-27085,0.0,0.0,0.0,0.0,0.0
UT-0631,0.0,0.0,0.0,0.0,0.0
UT-0712,0.0,1.0,0.0,0.0,0.25
P-19251,0.0,0.0,0.0,0.0,0.0
UT-34292,0.0,0.0,0.0,0.0,0.0
P-06779,0.0,0.0,0.0,0.0,0.0
P-09846,0.0,0.0,0.0,0.0,0.0
P-28706,0.0,0.0,0.0,0.0,0.0
N-06282,0.0,0.0,0.0,0.0,0.0
N-17277,0.0,0.0,0.0,0.0,0.0
P-03306,0.0,0.0,0.0,0.0,0.0
N-27497,0.0,0.0,0.0,0.0,0.0
P-35541,0.0,0.0,0.0,0.0,0.0
P-03251,0.0,1.0,0.0,0.0,0.25
P-46728,0.0,0.0,0.0,0.0,0.0
P-30258,0.0,0.0,0.0,0.0,0.0
P-28776,0.0,0.0,0.0,0.0,0.0
UT-34526,0.0,1.0,0.0,0.0,0.25
P-40262,0.0,0.0,0.0,0.0,0.0
P-33480,0.0,0.0,0.0,0.0,0.0
P-41451,0.0,0.0,0.0,0.0,0.0
N-37013,0.0,0.0,0.0,0.0,0.0
P-45987,0.0,0.0,0.0,0.0,0.0
UT-24696,0.0,1.0,0.0,0.0,0.25
P-28498,0.0,0.0,0.0,0.0,0.0
P-31064,0.0,0.0,0.0,0.0,0.0
UT-8615,0.0,1.0,0.0,0.0,0.25
P-14790,0.0,0.0,0.0,0.0,0.0
N-12872,0.0,1.0,0.0,0.0,0.25
UT-36185,0.0,1.0,0.0,0.0,0.25
UT-19003,0.0,1.0,0.0,0.0,0.25
P-03440,0.0,0.0,0.0,0.0,0.0
UT-9676,0.0,1.0,0.0,0.0,0.25
N-22855,0.0,0.0,0.0,0.0,0.0
P-34582,0.0,0.0,0.0,0.0,0.0
P-01006,0.0,0.0,0.0,0.0,0.0
P-02725,0.0,1.0,0.0,0.0,0.25
UT-27692,1.0,0.0,0.0,0.0,0.25
P-43008,0.0,0.0,0.0,0.0,0.0
N-15760,0.0,0.0,0.0,0.0,0.0
N-31718,0.0,0.0,0.0,0.0,0.0
UT-18143,0.0,1.0,0.0,0.0,0.25
N-00389,0.0,0.0,0.0,0.0,0.0
N-15027,0.0,0.0,0.0,0.0,0.0
P-23742,0.0,0.0,0.0,0.0,0.0
N-10957,0.0,0.0,0.0,0.0,0.0
UT-42766,0.0,1.0,0.0,0.0,0.25
UT-9423,1.0,0.0,0.0,0.0,0.25
N-33772,0.0,0.0,0.0,0.0,0.0
P-06433,0.0,0.0,0.0,0.0,0.0
P-44132,0.0,0.0,0.0,0.0,0.0
N-10861,0.0,0.0,0.0,0.0,0.0
UT-33907,0.0,1.0,0.0,0.0,0.25
P-11823,0.0,0.0,0.0,0.0,0.0
UT-22655,0.0,0.0,0.0,0.0,0.0
N-15653,0.0,0.0,0.0,0.0,0.0
P-46302,0.0,0.0,0.0,0.0,0.0
P-22837,0.0,1.0,0.0,0.0,0.25
UT-38687,0.0,1.0,0.0,1.0,0.5
P-01692,0.0,0.0,0.0,0.0,0.0
P-31717,0.0,0.0,0.0,0.0,0.0
P-02158,0.0,0.0,0.0,0.0,0.0
P-23029,0.0,0.0,0.0,0.0,0.0
P-02277,0.0,1.0,0.0,0.0,0.25
P-45621,0.0,0.0,0.0,0.0,0.0
N-04391,0.0,0.0,0.0,0.0,0.0
N-09474,0.0,0.0,0.0,0.0,0.0
P-18231,0.0,0.0,0.0,0.0,0.0
N-20010,0.0,1.0,1.0,0.0,0.5
P-09196,0.0,0.0,0.0,0.0,0.0
P-14950,0.0,0.0,0.0,0.0,0.0
P-05725,0.0,0.0,0.0,0.0,0.0
N-26996,0.0,0.0,0.0,0.0,0.0
P-13463,0.0,0.0,0.0,0.0,0.0
P-49196,0.0,0.0,0.0,0.0,0.0
P-45601,0.0,1.0,0.0,0.0,0.25
N-33403,0.0,0.0,0.0,0.0,0.0
P-40311,0.0,0.0,0.0,0.0,0.0
P-37847,0.0,0.0,0.0,0.0,0.0
P-08196,0.0,0.0,0.0,0.0,0.0
N-24347,0.0,0.0,0.0,0.0,0.0
P-41388,0.0,0.0,0.0,0.0,0.0
P-33718,0.0,0.0,0.0,0.0,0.0
P-05674,0.0,0.0,0.0,0.0,0.0
P-02125,0.0,0.0,0.0,0.0,0.0
P-22782,0.0,0.0,0.0,0.0,0.0
P-42166,0.0,1.0,0.0,0.0,0.25
P-19730,0.0,0.0,0.0,0.0,0.0
N-26879,0.0,0.0,0.0,0.0,0.0
P-32352,0.0,0.0,0.0,0.0,0.0
N-32815,0.0,0.0,0.0,0.0,0.0
P-22545,0.0,0.0,0.0,0.0,0.0
P-13138,0.0,0.0,0.0,0.0,0.0
P-30200,0.0,0.0,0.0,0.0,0.0
P-03428,0.0,0.0,0.0,0.0,0.0
N-00570,0.0,0.0,0.0,0.0,0.0
N-35357,0.0,0.0,0.0,0.0,0.0
UT-0569,0.0,1.0,1.0,0.0,0.5
P-04230,1.0,1.0,0.0,0.0,0.5
P-19090,0.0,0.0,0.0,0.0,0.0
UT-37391,1.0,1.0,0.0,0.0,0.5
P-42927,0.0,0.0,0.0,0.0,0.0
N-14912,0.0,0.0,0.0,0.0,0.0
P-20188,0.0,0.0,0.0,0.0,0.0
N-35001,0.0,0.0,0.0,0.0,0.0
UT-45429,0.0,1.0,0.0,0.0,0.25
