ego,nodos,entidades,uniones_temporales,socios,enlaces,enlaces_entidad_ut,enlaces_ut_socio,enlaces_socio_entidad,grado_medio,grado_maximo,densidad,componentes_conexos,transitividad,clustering_medio,asortatividad_grado,k_core_maximo,triangulos_riesgo,comunidades_louvain,modularidad,socios_de_grado_1
Entidad 1,44,12,21,11,68,26,34,7,3.09,18,0.0719,1,0.0965,0.1073,-0.3382,3,12,5,0.4825,3
Entidad 2,28,6,10,12,43,8,18,17,3.07,15,0.1138,1,0.1813,0.1966,-0.1676,3,11,6,0.4081,3
